"","HabitatType","ER","DB","Sc1.1","Sc1.2","Sc2.1","Sc2.2"
"1","Cold-water coral reef",386,146,146,146,146,132
"2","Coral Garden",1384,303,303,303,303,269
"3","Deep-sea Sponge Aggregations",739,617,617,617,617,614
"4","NULL",6187,1860,1308,1308,1464,1071
"5","Seapen fields",458,166,166,166,166,166
"6","Tube-dwelling anemone aggregations",55,55,55,55,55,10
"7","Xenophyophore aggregations",41,41,41,41,41,2
"8","Anemone aggregations",22,22,22,22,22,NA
"9","Stalked crinoid aggregations",6,NA,NA,NA,NA,NA
