"","Region","VME presence","Precaution low -- fished","Precaution low -- total","Precaution medium -- fished","Precaution medium -- total","Precaution high -- fished","Precaution high -- total","Sub-gear"
"1","Total region",64,22,25,15,18,13,21,NA
"2","France",26,20,20,2,2,4,4,NA
"5","France",26,0,20,0,2,0,4,"ref_OT_CRU"
"8","France",26,18,20,2,2,4,4,"ref_OT_DMF"
"13","France",26,8,20,2,2,3,4,"ref_OT_MIX_DMF_BEN"
"17","France",26,4,20,1,2,1,4,"ref_Static_FPO"
"20","France",26,18,20,1,2,4,4,"ref_Static_GNS"
"23","France",26,18,20,2,2,4,4,"ref_Static_LLS"
"3","Portugal",20,2,2,3,5,8,13,NA
"6","Portugal",20,0,2,1,5,8,13,"ref_OT_CRU"
"9","Portugal",20,0,2,1,5,2,13,"ref_OT_DMF"
"14","Portugal",20,0,2,0,5,0,13,"ref_OT_MIX_DMF_BEN"
"18","Portugal",20,0,2,0,5,0,13,"ref_Static_FPO"
"21","Portugal",20,0,2,0,5,0,13,"ref_Static_GNS"
"24","Portugal",20,2,2,2,5,2,13,"ref_Static_LLS"
"4","Spain",18,0,3,10,11,1,4,NA
"7","Spain",18,0,3,1,11,0,4,"ref_OT_CRU"
"10","Spain",18,0,3,5,11,0,4,"ref_OT_DMF"
"11","Spain",18,0,3,0,11,0,4,"OT_MIX"
"12","Spain",18,0,3,0,11,0,4,"OT_MIX_CRU_DMF"
"15","Spain",18,0,3,0,11,0,4,"ref_OT_MIX_DMF_BEN"
"16","Spain",18,0,3,0,11,0,4,"OT_SPF"
"19","Spain",18,0,3,0,11,0,4,"ref_Static_FPO"
"22","Spain",18,0,3,8,11,0,4,"ref_Static_GNS"
"25","Spain",18,0,3,10,11,1,4,"ref_Static_LLS"
